Band1, Band2, Band3, Band4, isWater, lat, long
2670,12278,10050,8051,0,42.052912166591184,-83.43555890164325
2338,12676,9860,7558,0,42.052912166591184,-83.41914580862131
2338,12676,9860,7558,0,42.052912166591184,-83.40273271559937
2154,13198,10205,65528,0,42.052912166591184,-83.38631962257743
2524,13174,10030,65528,0,42.052912166591184,-83.3699065295555
3577,13509,10277,65528,0,42.052912166591184,-83.35349343653354
2131,12057,9986,7638,0,42.052912166591184,-83.3370803435116
3433,15289,11492,9815,0,42.036499073569246,-83.56686364581878
3663,14500,10370,65528,0,42.036499073569246,-83.55045055279685
2400,13645,10219,65528,0,42.036499073569246,-83.53403745977491
3185,13775,10049,65528,0,42.036499073569246,-83.51762436675297
2968,13483,10559,7800,0,42.036499073569246,-83.50121127373103
2711,12965,10268,9023,0,42.036499073569246,-83.48479818070908
3066,14056,12656,10200,0,42.036499073569246,-83.46838508768714
2505,13670,10113,65528,0,42.036499073569246,-83.4519719946652
2286,14314,11612,65528,0,42.036499073569246,-83.43555890164325
3033,15445,11910,65528,0,42.036499073569246,-83.41914580862131
2773,12849,10532,65528,0,42.036499073569246,-83.40273271559937
3411,12835,10103,65528,0,42.036499073569246,-83.38631962257743
2437,11303,8939,65528,0,42.036499073569246,-83.3699065295555
2342,11249,9552,65528,0,42.036499073569246,-83.35349343653354
2352,12274,10122,65528,0,42.036499073569246,-83.3370803435116
1962,15351,11314,65528,0,42.0200859805473,-83.56686364581878
3055,14263,10503,65528,0,42.0200859805473,-83.55045055279685
3639,14741,10543,65528,0,42.0200859805473,-83.53403745977491
3690,13934,11144,65528,0,42.0200859805473,-83.51762436675297
2900,15148,10436,65528,0,42.0200859805473,-83.50121127373103
2218,13248,9773,65528,0,42.0200859805473,-83.48479818070908
2227,12672,10009,65528,0,42.0200859805473,-83.46838508768714
1988,13815,10273,65528,0,42.0200859805473,-83.4519719946652
2369,13373,9934,65528,0,42.0200859805473,-83.43555890164325
2845,12423,9837,65528,0,42.0200859805473,-83.41914580862131
2495,12674,10115,7677,0,42.0200859805473,-83.40273271559937
3084,13292,10099,7147,0,42.0200859805473,-83.38631962257743
3403,12889,9605,8123,0,42.0200859805473,-83.3699065295555
2182,12168,9406,6873,0,42.0200859805473,-83.35349343653354
2138,12377,9641,7355,0,42.0200859805473,-83.3370803435116
5224,16336,10777,10425,0,42.003672887525354,-83.56686364581878
2898,13753,10666,7601,0,42.003672887525354,-83.55045055279685
2391,13486,10513,7685,0,42.003672887525354,-83.53403745977491
2180,14841,11179,7649,0,42.003672887525354,-83.51762436675297
3622,15962,11136,9062,0,42.003672887525354,-83.50121127373103
3267,13465,9833,7812,0,42.003672887525354,-83.48479818070908
2259,12635,10069,7518,0,42.003672887525354,-83.46838508768714
2106,13159,10145,6431,0,42.003672887525354,-83.4519719946652
2437,13654,10613,8299,0,42.003672887525354,-83.43555890164325
4147,15105,11144,10380,0,42.003672887525354,-83.41914580862131
4081,13931,10171,7954,0,42.003672887525354,-83.40273271559937
2747,12271,10101,7343,0,42.003672887525354,-83.38631962257743
2444,11862,9031,7465,0,42.003672887525354,-83.3699065295555
2103,12221,9710,7239,0,42.003672887525354,-83.35349343653354
2296,11547,8994,7090,0,42.003672887525354,-83.3370803435116
4876,16943,14545,12282,0,41.987259794503416,-83.56686364581878
7276,18601,12210,13398,0,41.987259794503416,-83.55045055279685
2926,15741,10796,7239,0,41.987259794503416,-83.53403745977491
3618,14876,10581,7922,0,41.987259794503416,-83.51762436675297
2495,14718,11777,9416,0,41.987259794503416,-83.50121127373103
2322,14082,10312,7866,0,41.987259794503416,-83.48479818070908
4341,14230,11283,9058,0,41.987259794503416,-83.46838508768714
6697,17204,11487,9590,0,41.987259794503416,-83.4519719946652
2418,13693,10869,7843,0,41.987259794503416,-83.43555890164325
3023,14404,12330,9872,0,41.987259794503416,-83.41914580862131
1882,13110,10528,65528,0,41.987259794503416,-83.40273271559937
1882,13110,10528,65528,0,41.987259794503416,-83.38631962257743
1984,12935,10078,65528,0,41.987259794503416,-83.3699065295555
2147,12103,9547,65528,0,41.987259794503416,-83.35349343653354
2027,12107,9633,65528,0,41.987259794503416,-83.3370803435116
1778,14276,11112,65528,0,41.97084670148148,-83.56686364581878
2638,15715,11972,65528,0,41.97084670148148,-83.55045055279685
3420,15611,12968,65528,0,41.97084670148148,-83.53403745977491
3327,15088,11587,65528,0,41.97084670148148,-83.51762436675297
2134,14382,10730,65528,0,41.97084670148148,-83.50121127373103
3406,14587,10557,65528,0,41.97084670148148,-83.48479818070908
3359,16636,11365,8450,0,41.97084670148148,-83.46838508768714
2116,14048,10886,7507,0,41.97084670148148,-83.4519719946652
2116,14048,10886,7507,0,41.97084670148148,-83.43555890164325
3330,13776,10417,7605,0,41.97084670148148,-83.41914580862131
3770,13627,10073,8897,0,41.97084670148148,-83.40273271559937
2578,12342,9348,6710,0,41.97084670148148,-83.38631962257743
2011,11855,9484,6922,0,41.97084670148148,-83.3699065295555
1921,12251,9610,7164,0,41.97084670148148,-83.35349343653354
1832,12451,9622,7013,0,41.97084670148148,-83.3370803435116
1849,14527,10667,7005,0,41.95443360845953,-83.56686364581878
1806,14866,10691,7293,0,41.95443360845953,-83.55045055279685
2083,14395,11492,8328,0,41.95443360845953,-83.53403745977491
3382,15167,12734,9625,0,41.95443360845953,-83.51762436675297
3254,15711,11397,8281,0,41.95443360845953,-83.50121127373103
3244,14555,11657,7925,0,41.95443360845953,-83.48479818070908
3244,14555,11657,7925,0,41.95443360845953,-83.46838508768714
5058,16754,12342,13349,0,41.95443360845953,-83.4519719946652
3364,15584,12287,65528,0,41.95443360845953,-83.43555890164325
2578,11370,9187,6610,0,41.95443360845953,-83.41914580862131
2431,12437,9462,6276,0,41.95443360845953,-83.40273271559937
1752,12793,9563,6414,0,41.95443360845953,-83.38631962257743
1785,12405,9434,6560,0,41.95443360845953,-83.3699065295555
1998,10923,8909,65528,0,41.95443360845953,-83.35349343653354
1998,10923,8909,65528,0,41.95443360845953,-83.3370803435116
2272,14111,10626,7686,0,41.938020515437586,-83.56686364581878
2982,16228,10906,8110,0,41.938020515437586,-83.55045055279685
4527,16307,10121,7332,0,41.938020515437586,-83.53403745977491
2713,13167,10365,7294,0,41.938020515437586,-83.51762436675297
1897,14643,10352,65528,0,41.938020515437586,-83.50121127373103
2312,13154,10085,65528,0,41.938020515437586,-83.48479818070908
3106,13368,10123,65528,0,41.938020515437586,-83.46838508768714
2245,12342,9933,65528,0,41.938020515437586,-83.4519719946652
2237,11359,9107,65528,0,41.938020515437586,-83.43555890164325
2155,11424,8806,65528,0,41.938020515437586,-83.41914580862131
2310,10754,8676,65528,0,41.938020515437586,-83.40273271559937
2221,10609,8482,65528,0,41.938020515437586,-83.38631962257743
2221,10609,8482,65528,0,41.938020515437586,-83.3699065295555
1970,10723,8806,65528,0,41.938020515437586,-83.35349343653354
1496,6899,5669,65528,0,41.938020515437586,-83.3370803435116
1279,10641,5125,4291,0,41.626171748020695,-82.72979590169976
1095,5161,1330,1245,0,41.626171748020695,-82.7133828086778
1015,3525,1432,1026,0,41.626171748020695,-82.69696971565587
1454,10851,8519,5562,0,41.60975865499876,-82.72979590169976
1375,11583,7236,5103,0,41.60975865499876,-82.7133828086778
1022,3617,1605,971,0,41.60975865499876,-82.69696971565587
3710,12219,7555,6809,0,41.44562772477933,-83.00881848307276
3063,8866,3513,2846,0,41.44562772477933,-82.99240539005082
1280,1633,595,344,0,41.44562772477933,-82.97599229702888
1934,13292,10050,65528,0,41.42921463175739,-83.00881848307276
1934,13292,10050,65528,0,41.42921463175739,-82.99240539005082
3437,16011,10826,65528,0,41.42921463175739,-82.97599229702888
4353,15838,11692,9495,0,41.41280153873545,-83.00881848307276
3748,14663,10307,8610,0,41.41280153873545,-82.99240539005082
3171,14283,11329,7394,0,41.41280153873545,-82.97599229702888
