band1, band2, band3, band4, isAlgalBloom, lat, long, prob isWater
7337,16220,11826,65528,0,41.58136445914917,-83.32604418497357,0.0
7314,15829,11219,65528,0,41.58136445914917,-83.310009980305,0.0
7314,15829,11219,65528,0,41.58136445914917,-83.29397577563643,0.0
5989,13908,9779,65528,0,41.58136445914917,-83.27794157096785,0.0
5620,13796,9732,65528,0,41.58136445914917,-83.26190736629928,0.0
12982,24289,14769,5372,0,41.68123645433313,-83.43999787506878,0.0
12982,24289,14769,5372,0,41.68123645433313,-83.42631277802245,0.0
13190,24412,15191,5769,0,41.68123645433313,-83.41262768097613,0.0
12987,23878,14709,5675,0,41.68123645433313,-83.3989425839298,0.0
11839,22311,13577,4926,0,41.68123645433313,-83.38525748688346,0.0
10909,20750,12692,4872,0,41.68123645433313,-83.37157238983713,0.0
10909,20750,12692,4872,0,41.68123645433313,-83.35788729279079,0.0
